OPR_DATE,OPR_HOUR,PRICE
6/24/2010,1,30.36
6/24/2010,2,28.13
6/24/2010,3,26.4
6/24/2010,4,25.87
6/24/2010,5,25.82
6/24/2010,6,26.63
6/24/2010,7,27.83
6/24/2010,8,30.17
6/24/2010,9,35.74
6/24/2010,10,39.06
6/24/2010,11,47.15
6/24/2010,12,52.42
6/24/2010,13,55.92
6/24/2010,14,61.63
6/24/2010,15,69.04
6/24/2010,16,68.54
6/24/2010,17,69.45
6/24/2010,18,61.32
6/24/2010,19,55.41
6/24/2010,20,50.17
6/24/2010,21,43.64
6/24/2010,22,42.33
6/24/2010,23,38.2
6/25/2010,0,29.69
6/25/2010,1,27.52
6/25/2010,2,26.1
6/25/2010,3,24.34
6/25/2010,4,23.41
6/25/2010,5,23.29
6/25/2010,6,24.76
6/25/2010,7,25.94
6/25/2010,8,27.33
6/25/2010,9,29.82
6/25/2010,10,31.47
6/25/2010,11,37.32
6/25/2010,12,42.66
6/25/2010,13,46.61
6/25/2010,14,51.86
6/25/2010,15,61.08
6/25/2010,16,63.55
6/25/2010,17,65.31
6/25/2010,18,58.94
6/25/2010,19,50.21
6/25/2010,20,43.81
6/25/2010,21,38.32
6/25/2010,22,38.19
6/25/2010,23,36.13
6/26/2010,0,28.74
6/26/2010,1,26.81
6/26/2010,2,25.56
6/26/2010,3,24.64
6/26/2010,4,22.7
6/26/2010,5,22
6/26/2010,6,21.39
6/26/2010,7,21.68
6/26/2010,8,23.93
6/26/2010,9,26.15
6/26/2010,10,28.75
6/26/2010,11,32.58
6/26/2010,12,37.72
6/26/2010,13,40.12
6/26/2010,14,44.58
6/26/2010,15,49.37
6/26/2010,16,57.12
6/26/2010,17,63.28
6/26/2010,18,61.47
6/26/2010,19,49.88
6/26/2010,20,42.73
6/26/2010,21,39.82
6/26/2010,22,38.45
6/26/2010,23,36.48
6/27/2010,0,28.05
6/27/2010,1,26.52
6/27/2010,2,25.16
6/27/2010,3,22.89
6/27/2010,4,22.51
6/27/2010,5,22.33
6/27/2010,6,22.07
6/27/2010,7,21.5
6/27/2010,8,23.05
6/27/2010,9,26.07
6/27/2010,10,28.81
6/27/2010,11,33.76
6/27/2010,12,41.29
6/27/2010,13,40.84
6/27/2010,14,46.02
6/27/2010,15,49
6/27/2010,16,54.58
6/27/2010,17,62.78
6/27/2010,18,56.29
6/27/2010,19,51.07
6/27/2010,20,44.04
6/27/2010,21,41.15
6/27/2010,22,43.11
6/27/2010,23,39.56
6/28/2010,0,30.16
6/28/2010,1,27.77
6/28/2010,2,26.04
6/28/2010,3,24.19
6/28/2010,4,23.19
6/28/2010,5,23.27
6/28/2010,6,24.5
6/28/2010,7,26.3
6/28/2010,8,29.67
6/28/2010,9,33.81
6/28/2010,10,37.57
6/28/2010,11,46.45
6/28/2010,12,50.97
6/28/2010,13,56.97
6/28/2010,14,63.16
6/28/2010,15,70.06
6/28/2010,16,71.31
6/28/2010,17,72.69
6/28/2010,18,69.23
6/28/2010,19,56.29
6/28/2010,20,53.12
6/28/2010,21,50.73
6/28/2010,22,45.98
6/28/2010,23,36.67
6/29/2010,0,26.36
6/29/2010,1,26.38
6/29/2010,2,25.26
6/29/2010,3,23.72
6/29/2010,4,22.66
6/29/2010,5,22.72
6/29/2010,6,23.68
6/29/2010,7,26.06
6/29/2010,8,26.87
6/29/2010,9,28.33
6/29/2010,10,30.14
6/29/2010,11,33.79
6/29/2010,12,39.47
6/29/2010,13,43.83
6/29/2010,14,44.82
6/29/2010,15,47.91
